,AAPL,MSFT,AMZN,GOOGL,META,JNJ,JPM,BRK,PG,V,MA,WMT,UNH,INTC,CSCO,KO,PEP,DIS,VZ,T,,,AAPL,MSFT,AMZN,GOOGL,META,JNJ,JPM,BRK,PG,V,MA,WMT,UNH,INTC,CSCO,KO,PEP,DIS,VZ,T
Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,,,Linear Return ,,,,,,,,,,,,,,,,,,,
01/06/2022,147.827301,271.951233,121.683998,113.891998,188.639999,173.590622,125.706673,312.209991,141.896561,208.276688,354.805939,123.459969,486.029816,42.394905,43.733437,61.256721,163.436508,109.190002,48.347294,19.999115,,,-0.000873304,0.007928789,0.012266044,0.00114271,-0.025821111,-0.003151223,-0.017545057,-0.011931198,-0.015147373,-0.010557535,-0.002263261,-0.024722123,-0.008514848,-0.00697885,0.003995602,-0.004891126,0.008104478,-0.011318363,0.002144647,-0.00328795
02/06/2022,150.312454,267.434875,125.511002,117.622498,198.860001,172.87529,127.729042,314.950012,143.426193,213.356384,360.787903,125.487297,485.743683,43.096519,44.27491,61.897747,161.642136,110.870003,48.243828,19.97084,,,0.016811191,-0.016607235,0.031450347,0.032754716,0.05417728,-0.004120799,0.016088,0.008776212,0.010779909,0.024389172,0.016859819,0.016420934,-0.000588715,0.016549489,0.012381213,0.010464582,-0.010979016,0.015386033,-0.002140058,-0.001413813
03/06/2022,144.517059,266.177094,122.349998,114.541,190.779999,172.855682,125.94857,310.940002,142.140121,210.975281,355.561157,123.332039,479.181671,41.7029,43.752773,61.159595,162.318695,108.669998,47.792336,19.697525,,,-0.038555654,-0.00470313,-0.025185075,-0.026198202,-0.04063161,-0.000113423,-0.013939445,-0.012732211,-0.008966786,-0.011160214,-0.014487032,-0.017175109,-0.013509207,-0.032337159,-0.011793067,-0.011925345,0.004185536,-0.019843104,-0.009358544,-0.013685704
06/06/2022,145.272537,269.891174,124.790001,116.820503,194.25,174.756699,125.532486,312.149994,141.584808,211.263,357.866486,122.889183,483.691193,41.654846,43.830128,61.062469,163.318848,107.830002,48.1968,19.735224,,,0.005227604,0.013953417,0.019942812,0.019901197,0.018188495,0.010997712,-0.003303602,0.0038914,-0.0039068,0.001363757,0.006483636,-0.003590762,0.009410882,-0.001152294,0.001768002,-0.001588075,0.006161662,-0.007729788,0.008462947,0.001913895
07/06/2022,147.827301,267.821167,123,117.149498,195.649994,173.718018,125.861488,313.649994,143.163132,212.81073,361.721985,121.412964,490.519623,41.837452,44.062187,61.431541,162.505005,107.790001,48.582443,19.923717,,,0.017586008,-0.007669784,-0.014344106,0.002816244,0.007207176,-0.005943583,0.002620851,0.004805382,0.011147552,0.007326082,0.010773568,-0.012012603,0.014117334,0.004383788,0.005294509,0.006044171,-0.004983154,-0.000370964,0.008001423,0.009551095
08/06/2022,147.081757,262.255035,121.18,117.194,196.639999,170.219757,123.858467,308.73999,141.380173,211.818588,360.042633,120.359947,486.996857,39.626881,43.433693,61.08189,159.612427,107.339996,48.488388,19.838896,,,-0.005043344,-0.020783017,-0.014796748,0.000379874,0.005060082,-0.020137583,-0.015914487,-0.015654405,-0.012454037,-0.004662086,-0.004642659,-0.008673019,-0.007181702,-0.052837133,-0.014263795,-0.005691718,-0.017799932,-0.004174831,-0.001935987,-0.004257288
09/06/2022,141.79332,250.567963,116.150002,114.835503,184,169.083054,121.255493,300.799988,138.827545,204.486771,346.796783,119.100243,482.951111,38.454319,42.795528,60.023232,159.357452,103.300003,47.914612,19.678675,,,-0.035955764,-0.044563766,-0.041508483,-0.020124725,-0.064279898,-0.006677856,-0.021015713,-0.025717439,-0.018055063,-0.034613662,-0.036789671,-0.01046614,-0.00830754,-0.029590065,-0.014692856,-0.017331782,-0.001597463,-0.03763735,-0.011833266,-0.008076105
10/06/2022,136.31604,239.940674,109.650002,111.161499,175.570007,167.378006,115.68187,291.709991,138.301407,197.938751,332.636749,119.769463,478.214691,37.656597,42.051014,59.64444,156.631577,99.400002,47.801739,19.499609,,,-0.038628618,-0.0424128,-0.055962117,-0.031993625,-0.045815179,-0.010084086,-0.045965942,-0.030219406,-0.003789867,-0.032021729,-0.040830927,0.005618964,-0.009807245,-0.020744666,-0.017397005,-0.006310756,-0.017105413,-0.037754123,-0.002355711,-0.009099495
13/06/2022,131.097198,242.149338,103.669998,106.392502,164.259995,164.810654,112.237061,281.559998,134.59906,190.74585,317.721497,117.515785,463.4823,36.301418,41.80928,59.576458,153.082001,95.709999,46.644791,18.623116,,,-0.038284871,0.009205042,-0.054537199,-0.042901518,-0.064418816,-0.015338646,-0.029778296,-0.034794808,-0.026770133,-0.036339024,-0.044839459,-0.0188168,-0.030807065,-0.035987824,-0.005748589,-0.001139788,-0.022661944,-0.037122766,-0.024203053,-0.04494926
14/06/2022,131.971954,249.349731,102.309998,106.7155,163.729996,166.574493,110.369499,277.640015,130.399857,191.995941,320.106354,117.564995,455.637543,36.455193,41.4902,57.942749,154.719498,94.220001,46.24033,18.330952,,,0.006672576,0.02973534,-0.013118549,0.003035909,-0.003226586,0.010702215,-0.016639441,-0.013922372,-0.031197863,0.0065537,0.007506124,0.000418752,-0.016925688,0.00423606,-0.007631798,-0.027422057,0.010696862,-0.015567841,-0.008671086,-0.015688245
15/06/2022,134.626114,242.624756,107.669998,109.764503,169.350006,166.662689,111.675827,278.929993,129.10405,194.615143,323.335846,117.486259,458.18338,37.147198,42.350754,58.373188,153.974289,95.879997,46.230927,18.321529,,,0.020111546,-0.026970051,0.052389797,0.028571323,0.034324865,0.000529469,0.011835951,0.004646225,-0.009937181,0.013641965,0.010088809,-0.000669723,0.005587417,0.018982344,0.020741139,0.007428695,-0.004816516,0.017618297,-0.000203351,-0.000514049
16/06/2022,129.287994,245.279068,103.660004,106.033501,160.869995,166.055145,109.759888,268.559998,129.893234,187.561142,306.830719,118.706589,451.65741,35.888134,41.886635,57.786224,154.003708,94.279999,45.939339,17.869141,,,-0.039651445,0.010939988,-0.037243374,-0.033990971,-0.050073875,-0.003645351,-0.017156255,-0.03717777,0.006112775,-0.0362459,-0.051046388,0.010387002,-0.01424314,-0.033893916,-0.010958931,-0.01005537,0.000191064,-0.016687506,-0.006307206,-0.024691607
17/06/2022,130.779099,251.310776,106.220001,107.143501,163.740005,169.533798,109.372818,268.079987,128.957901,188.513565,308.728607,116.413551,447.666595,35.532524,41.954319,58.138405,157.582687,94.339996,46.11805,18.264978,,,0.011533205,0.024591206,0.024696092,0.01046839,0.017840555,0.020948782,-0.003526516,-0.001787351,-0.007200783,0.005077933,0.006185456,-0.019316855,-0.008835934,-0.009908846,0.001615885,0.006094549,0.023239564,0.00063637,0.003890152,0.022151988
21/06/2022,135.063507,250.706619,108.68,111.543999,157.050003,172.208969,112.08223,271.769989,132.864822,192.859085,315.396301,120.232002,475.651978,36.262974,42.679497,59.380802,158.876999,93.290001,47.641838,18.811605,,,0.032760648,-0.002404023,0.023159471,0.041071068,-0.040857468,0.015779573,0.024772261,0.013764556,0.030296096,0.023051498,0.021597266,0.032800743,0.062513896,0.020557222,0.017284943,0.021369644,0.008213542,-0.011129903,0.033041033,0.029927602
22/06/2022,134.546616,256.381775,108.949997,111.487503,155.850006,176.050201,111.453262,269.790009,134.940094,192.293564,314.154144,118.775482,484.92099,35.926582,42.128365,59.821022,160.906723,93.5,47.773521,19.150896,,,-0.003827022,0.022636642,0.00248433,-0.000506491,-0.007640859,0.022305644,-0.005611666,-0.007285499,0.015619424,-0.002932302,-0.003938401,-0.012114246,0.019486962,-0.009276459,-0.012913273,0.007413507,0.012775443,0.002251034,0.00276402,0.01803626
23/06/2022,137.449265,265.137146,112.440002,112.241997,158.75,178.62735,110.234039,267.519989,138.64241,195.09137,314.760345,121.658997,494.952545,35.955414,41.509537,60.535156,162.897232,94.300003,48.996311,19.424212,,,0.021573556,0.03414974,0.032033089,0.006767521,0.018607596,0.014638717,-0.010939321,-0.008414025,0.027436738,0.01454966,0.001929629,0.024277022,0.020686989,0.000802526,-0.014689106,0.011937844,0.012370577,0.008556182,0.02559556,0.014271708
24/06/2022,140.819138,262.354065,116.459999,117.974998,170.160004,178.460754,113.524017,278.279999,140.639725,203.891495,328.413605,121.757416,490.82309,37.108757,42.640823,61.669952,163.112946,97.779999,47.933426,19.782347,,,0.024517214,-0.01049676,0.035752374,0.051077147,0.071874041,-0.000932646,0.029845391,0.040221331,0.014406234,0.04510771,0.043376684,0.000808974,-0.008343133,0.032077033,0.027253641,0.018746066,0.001324234,0.036903456,-0.021693164,0.018437556
27/06/2022,140.819138,254.024551,113.220001,115.833504,169.490005,173.384857,112.614433,278.399994,139.567993,201.956863,326.75412,122.15107,500.745697,37.127975,42.321743,61.54277,160.818466,96.610001,47.933426,19.584429,,,0,-0.031749133,-0.027820694,-0.0181521,-0.003937465,-0.028442651,-0.008012261,0.000431202,-0.007620407,-0.009488537,-0.005053034,0.003233101,0.02021626,0.000517883,-0.00748297,-0.002062301,-0.014066817,-0.011965617,0,-0.010004779
28/06/2022,136.624191,257.768372,107.400002,112.0075,160.679993,173.433853,112.072548,273.859985,137.297867,196.559692,316.28067,120.428825,503.498688,36.311028,41.635239,60.926464,163.48555,95.919998,47.463123,19.424212,,,-0.029789609,0.014738028,-0.051404336,-0.033030202,-0.051979537,0.000282585,-0.004811861,-0.016307504,-0.016265377,-0.026724375,-0.032053001,-0.014099303,0.005497783,-0.022003543,-0.016221071,-0.010014271,0.016584439,-0.007142149,-0.009811587,-0.008180836
29/06/2022,138.403564,254.371185,108.919998,111.7015,163.940002,173.94339,111.569389,273.48999,138.544983,197.928848,320.553528,119.98597,510.698059,35.84008,41.461189,61.366684,163.416916,95.650002,47.914612,19.74465,,,0.01302385,-0.013179224,0.014152663,-0.00273196,0.02028883,0.002937933,-0.004489583,-0.001351037,0.009083288,0.006965599,0.013509703,-0.003677317,0.014298689,-0.012969834,-0.004180353,0.007225432,-0.000419817,-0.002814804,0.009512417,0.016496834
30/06/2022,135.908463,257.094818,106.209999,108.962997,161.25,175.91301,108.966423,273.019989,140.094116,195.339401,313.488464,119.651367,508.638245,35.955414,41.22913,61.54277,166.093781,94.400002,47.735897,19.754072,,,-0.018027722,0.010707317,-0.024880638,-0.02451626,-0.016408454,0.011323339,-0.023330467,-0.001718531,0.011181444,-0.013082716,-0.0220402,-0.002788684,-0.00403333,0.003218017,-0.005597017,0.002869407,0.016380587,-0.013068479,-0.003729864,0.000477193
01/07/2022,138.105331,260.333557,109.559998,108.737503,160.029999,174.560745,110.359833,277.5,142.354477,197.611343,316.230988,120.6847,512.371582,34.927017,41.190456,62.980824,165.721161,96.139999,48.57304,20.083937,,,0.016164321,0.01259745,0.031541277,-0.002069455,-0.007565898,-0.007687123,0.012787517,0.016409095,0.016134589,0.011630741,0.008748405,0.008636199,0.007339867,-0.028602007,-0.000938026,0.023366742,-0.002243431,0.018432171,0.01753697,0.016698582
05/07/2022,140.719727,263.661346,113.5,113.263,168.190002,174.717529,109.940063,275.690002,140.980713,198.960648,317.244568,122.279007,500.329773,35.263412,40.936798,61.904732,167.378281,97.18,48.366108,19.95199,,,0.01893045,0.012782789,0.035962049,0.041618548,0.050990458,0.000898163,-0.003803648,-0.006522515,-0.009650304,0.006828075,0.003205189,0.013210515,-0.023502102,0.009631369,-0.006158174,-0.017086026,0.009999447,0.010817568,-0.004260223,-0.006569778
06/07/2022,142.071655,265.830414,114.330002,114.571999,169.770004,174.913483,109.227425,275.649994,142.296021,199.536072,318.148834,123.14505,510.282104,35.551746,41.648998,62.031902,167.044907,96.080002,48.45076,19.876596,,,0.009607239,0.00822672,0.007312793,0.011557163,0.009394149,0.001121547,-0.006482059,-0.00014512,0.009329702,0.00289215,0.002850375,0.007082516,0.019891543,0.008176577,0.01739755,0.002054286,-0.00199174,-0.011319181,0.001750234,-0.003778771
07/07/2022,145.481293,265.097504,116.330002,118.782997,172.190002,174.697922,111.990089,279.279999,142.247299,201.20285,322.517761,123.332039,509.380981,36.657032,42.166073,61.54277,168.535339,97.43,48.29837,19.93314,,,0.023999425,-0.002757058,0.017493221,0.036754164,0.014254568,-0.001232386,0.025292769,0.013168892,-0.000342399,0.008353267,0.013732337,0.001518445,-0.001765931,0.0310895,0.012415065,-0.007885169,0.008922343,0.01405077,-0.003145255,0.002844753
08/07/2022,146.167206,261.977661,115.540001,119.3535,170.880005,174.766525,111.638657,280.829987,141.292496,201.966797,321.512604,123.410767,513.589661,36.512859,42.331924,61.767773,167.152756,95.860001,48.088837,19.86438,,,0.004714785,-0.011768662,-0.006791034,0.004802901,-0.007607858,0.000392695,-0.003138063,0.005549943,-0.006712275,0.003796899,-0.003116594,0.000638342,0.008262342,-0.003933024,0.003933281,0.003656043,-0.00820352,-0.016114123,-0.004338304,-0.003449532
11/07/2022,144.010086,251.24144,111.75,115.676498,162.880005,172.316742,110.174347,278.51001,142.286255,203.445053,322.637207,123.459969,511.925964,35.753582,42.195339,61.572117,166.201645,93.639999,48.098354,19.730677,,,-0.014757893,-0.040981437,-0.032802501,-0.03080766,-0.046816478,-0.014017461,-0.013116514,-0.008261144,0.007033346,0.007319302,0.00349785,0.000398685,-0.003239351,-0.020794784,-0.003226525,-0.003167607,-0.005690071,-0.023158794,0.000197905,-0.006730791
12/07/2022,144.994202,250.300552,109.220001,114.0205,163.270004,171.914993,110.281723,277.279999,141.029434,203.20697,321.313538,123.086006,509.420532,35.763191,41.81485,61.307987,166.789978,93.599998,48.365036,19.673376,,,0.00683366,-0.003744955,-0.022639812,-0.014315769,0.002394395,-0.002331457,0.000974601,-0.004416398,-0.008833046,-0.001170257,-0.004102655,-0.003029022,-0.00489413,0.000268756,-0.009017323,-0.004289766,0.003539875,-0.000427179,0.005544514,-0.002904158
13/07/2022,144.626404,251.647507,110.400002,111.3535,163.490005,172.150162,109.246956,277.470001,141.955002,202.542206,321.821106,123.381248,496.368622,35.763191,41.658752,61.024292,167.652832,92.940002,48.10788,19.530127,,,-0.002536639,0.00538135,0.010803891,-0.023390531,0.001347467,0.001367938,-0.009382942,0.000685235,0.006562942,-0.003271364,0.001579666,0.002398664,-0.025621091,0,-0.003733076,-0.004627374,0.005173296,-0.007051239,-0.005316981,-0.007281363
14/07/2022,147.58873,254.262268,110.629997,110.3675,158.050003,174.648911,105.43,274.410004,141.536072,204.288361,323.473175,125.792366,497.547089,36.243748,41.297775,60.828636,167.790115,91.839996,48.088837,19.415522,,,0.020482608,0.01039057,0.002083288,-0.008854684,-0.033274218,0.014514938,-0.034938786,-0.011028208,-0.002951146,0.008621191,0.005133501,0.019542013,0.002374177,0.013437196,-0.008665094,-0.003206199,0.000818853,-0.011835657,-0.00039584,-0.005868113
15/07/2022,149.27861,251.815887,113.550003,111.777496,164.699997,170.729294,110.262207,278.480011,141.341202,208.385818,330.977081,127.022552,524.601624,37.118366,42.01973,61.141682,164.985764,95.199997,48.593632,19.644726,,,0.011449926,-0.009621487,0.026394342,0.012775464,0.042075254,-0.022442837,0.045833321,0.014831846,-0.001376822,0.020057222,0.023197924,0.009779496,0.054375828,0.024131555,0.017481692,0.005146359,-0.016713446,0.036585378,0.010497135,0.011805194
18/07/2022,146.197037,257.045349,113.760002,109.029999,167.229996,168.240341,109.129814,276.26001,139.626434,205.57811,329.42453,126.727325,514.322449,37.204865,41.561192,60.310158,166.750748,95.699997,47.888817,19.606525,,,-0.020643098,0.020767006,0.001849397,-0.024580055,0.015361257,-0.014578359,-0.010270001,-0.00797185,-0.012132117,-0.013473604,-0.004690811,-0.002324209,-0.019594249,0.002330356,-0.010912445,-0.013599953,0.010697796,0.005252101,-0.014504267,-0.001944593
19/07/2022,150.103699,259.759094,118.209999,113.809998,175.779999,167.280045,111.833893,283.549988,140.337677,211.97731,338.749634,127.504776,528.265686,38.656158,42.956322,61.171028,164.985764,99.610001,48.050735,19.86438,,,0.026721896,0.010557456,0.039117413,0.043841136,0.051127209,-0.005707882,0.024778554,0.026388104,0.005093899,0.031127828,0.028307254,0.006134833,0.027109913,0.039008151,0.033568094,0.014274047,-0.010584564,0.040856887,0.003381123,0.013151489
20/07/2022,152.131577,262.304504,122.769997,113.900002,183.089996,167.86795,111.814369,286.040009,137.911682,211.68959,339.635345,128.567642,514.421509,38.982937,43.053883,60.163418,165.230896,103.349998,46.736362,19.558775,,,0.013509847,0.009799118,0.0385754,0.000790827,0.041586057,0.003514496,-0.00017458,0.008781594,-0.01728684,-0.001357315,0.002614648,0.008335892,-0.026206845,0.008453478,0.002271167,-0.016472014,0.001485777,0.037546401,-0.027353858,-0.015384573
21/07/2022,154.427887,257.867371,124.629997,114.339996,183.169998,168.661682,112.575813,286.850006,138.042114,214.487381,345.258331,130.447342,517.382446,39.030991,43.492912,60.026459,166.309509,104.18,45.393417,18.068947,,,0.015094236,-0.016915962,0.015150281,0.003862985,0.000436955,0.004728312,0.006809894,0.002831761,0.000945765,0.013216479,0.016555951,0.014620319,0.005755858,0.001232693,0.010197199,-0.00227645,0.006527914,0.008030982,-0.028734479,-0.076171846
22/07/2022,153.175354,256.35202,122.419998,107.900002,169.270004,168.994858,112.029137,285.929993,140.248489,212.016998,342.23291,130.112747,516.342651,37.675816,43.375832,60.251461,166.54483,102.720001,42.336075,17.572338,,,-0.008110795,-0.005876474,-0.017732481,-0.056323196,-0.075885757,0.00197541,-0.00485607,-0.003207296,0.015983347,-0.011517615,-0.008762775,-0.002564981,-0.002009722,-0.034720487,-0.002691933,0.00374838,0.001414958,-0.014014197,-0.067352101,-0.027484114
25/07/2022,152.042114,249.488373,121.139999,107.510002,166.649994,170.190353,112.478188,287.98999,141.199707,212.58252,342.561279,129.925766,524.32428,37.637371,43.258759,60.838417,168.486298,102.690002,42.631332,17.696491,,,-0.007398318,-0.026774304,-0.0104558,-0.003614458,-0.015478289,0.00707415,0.004008341,0.00720455,0.006782376,0.002667343,0.00095949,-0.001437069,0.015458008,-0.001020416,-0.002699038,0.009741772,0.01165733,-0.000292046,0.006974123,0.007065252
26/07/2022,150.700134,266.167175,114.809998,105.019997,159.149994,169.719986,110.721016,285.309998,141.474289,210.816528,339.645355,120.045013,526.423767,37.445148,42.761196,61.83625,168.250961,99.779999,42.783722,17.476835,,,-0.00882637,0.066852021,-0.0522536,-0.023160682,-0.045004502,-0.00276377,-0.015622336,-0.009305851,0.001944636,-0.008307325,-0.008512124,-0.076049219,0.004004177,-0.005107238,-0.011502017,0.016401364,-0.001396772,-0.028337744,0.003574601,-0.012412404
27/07/2022,155.859329,273.763733,120.970001,113.059998,169.580002,170.699905,112.497704,290.299988,142.817734,208.812454,341.625793,124.581879,529.414368,38.61771,43.551445,61.640598,171.437744,103.5,42.774204,17.562786,,,0.03423484,0.028540552,0.05365389,0.076556858,0.065535711,0.00577374,0.016046529,0.017489713,0.009496036,-0.009506247,0.0058309,0.03779304,0.005680976,0.031314124,0.018480517,-0.003164034,0.018940653,0.037282031,-0.000222468,0.004917996
28/07/2022,156.416,278.052277,122.279999,114.220001,160.720001,171.013474,112.077942,293.899994,145.190826,209.685516,350.761841,127.69175,536.227417,38.165981,44.507549,62.667774,171.555389,104.900002,43.383762,17.74424,,,0.003571625,0.015665128,0.010829115,0.010260066,-0.052246732,0.001836961,-0.003731294,0.012400986,0.016616228,0.004181082,0.026742852,0.024962467,0.012869029,-0.011697457,0.021953439,0.016663953,0.000686226,0.013526589,0.014250598,0.010331732
29/07/2022,161.545364,275.34845,134.949997,116.32,159.100006,170.415726,112.614853,300.600006,136.218155,210.439529,352.095459,129.955261,537.069275,34.898186,44.263641,62.775387,173.506653,106.099998,43.993332,17.935246,,,0.03279309,-0.009724168,0.103614639,0.018385563,-0.01007961,-0.003495327,0.004790514,0.022796911,-0.061799159,0.003595923,0.003802061,0.017726368,0.001569964,-0.085620621,-0.005480149,0.001717198,0.011373959,0.011439428,0.014050649,0.010764395
01/08/2022,160.5513,272.188965,135.389999,114.860001,159.929993,169.445618,111.492226,295.859985,140.130814,209.695435,348.860992,130.4375,530.176819,35.522907,44.175835,63.117779,172.075073,106.220001,44.059998,17.887493,,,-0.006153467,-0.011474497,0.003260482,-0.012551573,0.005216763,-0.005692597,-0.009968729,-0.015768533,0.028723477,-0.003535904,-0.009186335,0.003710808,-0.012833458,0.017901246,-0.001983705,0.00545424,-0.008250865,0.001131037,0.001515366,-0.002662523
02/08/2022,159.060196,279.765717,134.160004,115.129997,160.190002,171.082062,109.75457,292.170013,139.199234,204.63559,347.338318,130.575287,530.256104,34.609848,43.824615,62.256905,173.389008,104.709999,43.18375,17.534138,,,-0.009287399,0.027836367,-0.009084829,0.002350653,0.001625768,0.009657635,-0.015585445,-0.012472021,-0.006647931,-0.024129495,-0.004364701,0.001056345,0.000149544,-0.025703386,-0.007950501,-0.013639168,0.007635824,-0.014215797,-0.019887609,-0.019754305
