Date,Open,High,Low,Close,Adj Close,Volume,,,Linear return 
17/05/2022,146.029999,147.070007,144.949997,147.039993,144.266556,5057700,,,
18/05/2022,145.559998,145.589996,141.009995,141.509995,138.840866,2108300,,,-0.037608786
19/05/2022,140.199997,142.779999,139.880005,141.190002,138.526901,2515000,,,-0.00226133
20/05/2022,142.360001,142.570007,138.119995,141.190002,138.526901,4302400,,,0
23/05/2022,142.580002,143.589996,141.169998,143.179993,140.479355,2905500,,,0.014094403
24/05/2022,142.210007,142.699997,139.809998,142.289993,139.606155,4026400,,,-0.00621586
25/05/2022,141.839996,144.470001,141.770004,143.929993,141.21521,1937100,,,0.011525674
26/05/2022,144.770004,147.610001,144.770004,146.970001,144.197891,3162500,,,0.021121528
27/05/2022,147.779999,150.339996,147.75,150.339996,147.504303,3196700,,,0.022929683
31/05/2022,149.460007,150.119995,148.139999,148.929993,146.120895,2746200,,,-0.009378764
01/06/2022,149.580002,149.889999,146.130005,147.350006,144.570709,2113400,,,-0.010608928
02/06/2022,147.449997,149.979996,146.690002,149.940002,147.111862,1872400,,,0.017577233
03/06/2022,148.619995,149.169998,147.889999,148.169998,145.375244,1591900,,,-0.011804745
06/06/2022,149.369995,149.910004,148.350006,148.710007,145.905075,2004800,,,0.003644575
07/06/2022,147.419998,150.279999,147.279999,150.130005,147.298264,1581100,,,0.009548599
08/06/2022,149.429993,149.720001,147.710007,148.009995,145.218262,1370300,,,-0.014121022
09/06/2022,147.410004,147.710007,144.649994,144.649994,141.921631,1182100,,,-0.022701215
10/06/2022,142.389999,142.5,140.710007,140.710007,138.055969,2594700,,,-0.027238004
13/06/2022,137.419998,137.889999,134.389999,135.050003,132.502716,3705400,,,-0.04022465
14/06/2022,135.789993,136.119995,133.160004,134.350006,131.815933,3562600,,,-0.005183162
15/06/2022,135.550003,137.419998,133.449997,135.639999,133.081589,2899900,,,0.009601692
16/06/2022,132.850006,132.850006,129.919998,130.839996,128.372116,2967400,,,-0.035387863
17/06/2022,131.149994,132.259995,129.559998,131.139999,128.666458,3359100,,,0.002292881
21/06/2022,132.380005,133.259995,132.039993,132.690002,130.888885,1833300,,,0.017272777
22/06/2022,131.070007,133.820007,130.889999,132.619995,130.819824,3062800,,,-0.000527631
